"$1,630,000",23 Hutchins Street,Yarralumla,house,Sold on 27 Aug 2016,5,2,0,http://www.realestate.com.au/sold/property-house-act-yarralumla-123250370,https://www.realestate.com.au/sold/in-2600/list-2
"$760,000",10/3 Bowen Drive,Barton,apartment,Sold on 22 Aug 2016,2,2,2,http://www.realestate.com.au/sold/property-apartment-act-barton-123350502,https://www.realestate.com.au/sold/in-2600/list-2
"$1,200,000",14 Carmichael Street,Deakin,house,Sold on 13 Aug 2016,5,2,0,http://www.realestate.com.au/sold/property-house-act-deakin-123165502,https://www.realestate.com.au/sold/in-2600/list-2
"$1,910,000",16 Le Hunte Street,Deakin,house,Sold on 09 Aug 2016,5,3,2,http://www.realestate.com.au/sold/property-house-act-deakin-122836522,https://www.realestate.com.au/sold/in-2600/list-2
"$438,000",36/5 Burbury Close,Barton,unit,Sold on 05 Aug 2016,1,1,0,http://www.realestate.com.au/sold/property-unit-act-barton-122550078,https://www.realestate.com.au/sold/in-2600/list-2
"$1,425,000",15 Hampton Circuit,Yarralumla,house,Sold on 28 Jul 2016,5,3,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-122810162,https://www.realestate.com.au/sold/in-2600/list-2
"$1,210,000",101 Strickland Crescent,Deakin,house,Sold on 16 Jul 2016,4,3,2,http://www.realestate.com.au/sold/property-house-act-deakin-122969778,https://www.realestate.com.au/sold/in-2600/list-2
"$860,000",15/43 Blackall Street,Barton,apartment,Sold on 08 Jul 2016,3,3,2,http://www.realestate.com.au/sold/property-apartment-act-barton-122018762,https://www.realestate.com.au/sold/in-2600/list-2
"$619,900",101/30  Blackall St,Barton,apartment,Sold on 23 Jun 2016,2,2,0,http://www.realestate.com.au/sold/property-apartment-act-barton-114719419,https://www.realestate.com.au/sold/in-2600/list-2
"$412,500",55/41 Blackall Street,Barton,apartment,Sold on 22 Jun 2016,1,1,1,http://www.realestate.com.au/sold/property-apartment-act-barton-121769462,https://www.realestate.com.au/sold/in-2600/list-2
"$1,050,000",62 Jervois Street,Deakin,townhouse,Sold on 18 Jun 2016,3,2,2,http://www.realestate.com.au/sold/property-townhouse-act-deakin-122718086,https://www.realestate.com.au/sold/in-2600/list-2
"$950,000",64 Jervois Street,Deakin,townhouse,Sold on 18 Jun 2016,3,2,2,http://www.realestate.com.au/sold/property-townhouse-act-deakin-122718102,https://www.realestate.com.au/sold/in-2600/list-2
"$3,950,000",16 Brown Street,Yarralumla,house,Sold on 15 Jun 2016,5,4,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-122709226,https://www.realestate.com.au/sold/in-2600/list-2
"$419,000",20/14 Darling Street,Barton,apartment,Sold on 15 Jun 2016,2,1,1,http://www.realestate.com.au/sold/property-apartment-act-barton-122591962,https://www.realestate.com.au/sold/in-2600/list-3
"$1,695,000",2 Loftus Street,Yarralumla,house,Sold on 10 Jun 2016,6,3,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-122296074,https://www.realestate.com.au/sold/in-2600/list-3
"$1,350,000",22 Banks Street,Yarralumla,house,Sold on 09 Jun 2016,3,2,0,http://www.realestate.com.au/sold/property-house-act-yarralumla-122509630,https://www.realestate.com.au/sold/in-2600/list-3
"$1,202,000",22 Dugan Street,Deakin,house,Sold on 28 May 2016,4,1,2,http://www.realestate.com.au/sold/property-house-act-deakin-122592934,https://www.realestate.com.au/sold/in-2600/list-3
"$650,000",10 Kintore Crescent,Yarralumla,other,Sold on 27 May 2016,2,1,1,http://www.realestate.com.au/sold/property-other-act-yarralumla-122743930,https://www.realestate.com.au/sold/in-2600/list-3
"$1,580,000",34 Melbourne Avenue,Deakin,house,Sold on 21 May 2016,3,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-122478950,https://www.realestate.com.au/sold/in-2600/list-3
"$1,425,000",18 Belmore Gardens,Barton,house,Sold on 12 May 2016,4,2,1,http://www.realestate.com.au/sold/property-house-act-barton-121353750,https://www.realestate.com.au/sold/in-2600/list-3
"$1,495,000",24 Bailey Place,Yarralumla,house,Sold on 11 May 2016,5,3,0,http://www.realestate.com.au/sold/property-house-act-yarralumla-122016378,https://www.realestate.com.au/sold/in-2600/list-3
"$1,680,000",5 Woolls Street,Yarralumla,house,Sold on 07 May 2016,4,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-122398082,https://www.realestate.com.au/sold/in-2600/list-3
"$1,701,000",24 Irwin Street,Yarralumla,house,Sold on 23 Apr 2016,3,1,3,http://www.realestate.com.au/sold/property-house-act-yarralumla-122295150,https://www.realestate.com.au/sold/in-2600/list-3
"$763,000",86 Schlich Street,Yarralumla,house,Sold on 14 Apr 2016,3,1,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-121802150,https://www.realestate.com.au/sold/in-2600/list-3
"$1,965,000",32 Carrington Street,Deakin,house,Sold on 09 Apr 2016,4,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-122287230,https://www.realestate.com.au/sold/in-2600/list-3
"$1,325,000",1/10 Hutchins Street,Yarralumla,house,Sold on 09 Apr 2016,3,3,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-122203646,https://www.realestate.com.au/sold/in-2600/list-3
"$930,000",1 De Chair Street,Deakin,house,Sold on 09 Apr 2016,3,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-122139366,https://www.realestate.com.au/sold/in-2600/list-3
"$610,000",29/3 Burbury Close,Barton,apartment,Sold on 30 Mar 2016,2,2,2,http://www.realestate.com.au/sold/property-apartment-act-barton-121814330,https://www.realestate.com.au/sold/in-2600/list-3
